,Year Code,County,Deaths,Population,Crude Rate
279,1999,"Kit Carson County, CO",,8028.0,
280,1999,"Lake County, CO",0.0,7713.0,0.0
281,1999,"La Plata County, CO",,43049.0,
282,1999,"Larimer County, CO",22.0,246884.0,8.911067545891997
283,1999,"Las Animas County, CO",,14960.0,
284,1999,"Lincoln County, CO",0.0,6097.0,0.0
285,1999,"Logan County, CO",0.0,20076.0,0.0
286,1999,"Mesa County, CO",16.0,114827.0,13.934005068494344
287,1999,"Mineral County, CO",0.0,802.0,0.0
288,1999,"Moffat County, CO",,13178.0,
289,1999,"Montezuma County, CO",,23601.0,
290,1999,"Montrose County, CO",,32907.0,
291,1999,"Morgan County, CO",0.0,26796.0,0.0
292,1999,"Otero County, CO",,20502.0,
293,1999,"Ouray County, CO",0.0,3622.0,0.0
294,1999,"Park County, CO",,13987.0,
295,1999,"Phillips County, CO",0.0,4521.0,0.0
296,1999,"Pitkin County, CO",0.0,15081.0,0.0
297,1999,"Prowers County, CO",,14520.0,
298,1999,"Pueblo County, CO",17.0,140184.0,12.126918906579924
299,1999,"Rio Blanco County, CO",0.0,6022.0,0.0
300,1999,"Rio Grande County, CO",,12258.0,
301,1999,"Routt County, CO",0.0,19237.0,0.0
302,1999,"Saguache County, CO",,5706.0,
303,1999,"San Juan County, CO",0.0,549.0,0.0
304,1999,"San Miguel County, CO",0.0,6396.0,0.0
305,1999,"Sedgwick County, CO",,2711.0,
306,1999,"Summit County, CO",,23069.0,
307,1999,"Teller County, CO",,20294.0,
308,1999,"Washington County, CO",0.0,4862.0,0.0
309,1999,"Weld County, CO",15.0,174342.0,8.603778779640018
310,1999,"Yuma County, CO",0.0,9807.0,0.0
311,1999,"Fairfield County, CT",42.0,877043.0,4.788818792237097
312,1999,"Hartford County, CT",46.0,853039.0,5.392484986032292
313,1999,"Litchfield County, CT",13.0,181328.0,7.169328509662049
314,1999,"Middlesex County, CT",,153340.0,
315,1999,"New Haven County, CT",43.0,820396.0,5.241371240230328
316,1999,"New London County, CT",13.0,257568.0,5.0472108336439305
317,1999,"Tolland County, CT",,134939.0,
318,1999,"Windham County, CT",,108748.0,
319,1999,"Kent County, DE",10.0,125611.0,7.961086210602574
320,1999,"New Castle County, DE",41.0,496079.0,8.264812660886673
321,1999,"Sussex County, DE",10.0,153300.0,6.5231572080887155
322,1999,"District of Columbia, DC",77.0,570213.0,13.50372580070956
323,1999,"Alachua County, FL",10.0,215847.0,4.63291127511617
324,1999,"Baker County, FL",,21575.0,
