="Notes"	"Year"	"Year Code"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	"Gender"	"Gender Code"	Deaths	Population	Crude Rate
	"2022 "	"2022"	"45-54 years"	"45-54"	"Female"	"F"	3267	20152015	16.2118
	"2022 "	"2022"	"45-54 years"	"45-54"	"Male"	"M"	7585	20279630	37.4021
	"2022 "	"2022"	"55-64 years"	"55-64"	"Female"	"F"	4785	21413534	22.3457
	"2022 "	"2022"	"55-64 years"	"55-64"	"Male"	"M"	11933	20671903	57.7257
	"2022 "	"2022"	"65-74 years"	"65-74"	"Female"	"F"	2530	17877767	14.1517
	"2022 "	"2022"	"65-74 years"	"65-74"	"Male"	"M"	7215	15910672	45.3469
	"2023 "	"2023"	"15-24 years"	"15-24"	"Female"	"F"	59	21463206	0.2749
	"2023 "	"2023"	"15-24 years"	"15-24"	"Male"	"M"	103	22423446	0.4593
	"2023 "	"2023"	"25-34 years"	"25-34"	"Female"	"F"	970	22483329	4.3143
	"2023 "	"2023"	"25-34 years"	"25-34"	"Male"	"M"	1750	23059187	7.5892
	"2023 "	"2023"	"35-44 years"	"35-44"	"Female"	"F"	2261	22028457	10.2640
	"2023 "	"2023"	"35-44 years"	"35-44"	"Male"	"M"	4782	22362236	21.3843
	"2023 "	"2023"	"45-54 years"	"45-54"	"Female"	"F"	3045	20306672	14.9951
	"2023 "	"2023"	"45-54 years"	"45-54"	"Male"	"M"	7093	20187109	35.1363
	"2023 "	"2023"	"55-64 years"	"55-64"	"Female"	"F"	4198	21350566	19.6622
	"2023 "	"2023"	"55-64 years"	"55-64"	"Male"	"M"	10685	20503845	52.1122
	"2023 "	"2023"	"65-74 years"	"65-74"	"Female"	"F"	2507	18350204	13.6620
